,EQUITY,EQUITY,EQUITY,DEBT,DEBT,DEBT
Date,Gross Purchase,Gross Sales,Net Purchase/Sales,Gross Purchase,Gross Sales,Net Purchase/Sales
23-Feb-2001,76.09,83.17,-7.08,0,0,0
22-Feb-2001,64.64,184.98,-120.34,0,0,0
21-Feb-2001,40.51,148.06,-107.55,0,0,0
20-Feb-2001,100.32,77.57,22.75,0,0,0
19-Feb-2001,21.56,110.57,-89.01,0,0,0
16-Feb-2001,77.98,51.26,26.72,0,0,0
15-Feb-2001,87.35,234.14,-146.79,0,0,0
14-Feb-2001,37.03,51.74,-14.71,0,0,0
13-Feb-2001,96.22,303.53,-207.31,0,0,0
12-Feb-2001,71.76,184.97,-113.21,0,0,0
09-Feb-2001,142.55,203.14,-60.59,0,0,0
08-Feb-2001,103.32,161.2,-57.88,0,0,0
07-Feb-2001,96.97,133.31,-36.34,0,0,0
06-Feb-2001,46.29,124.81,-78.52,0,0,0
05-Feb-2001,54.9,136.27,-81.37,0,0,0
02-Feb-2001,209.06,156.39,52.67,0,0,0
01-Feb-2001,37.97,278.19,-240.22,0,0,0
Total,1719.45,2900.56,-1181.11,0,0,0
31-Jul-2006,330.9,371.74,-40.84,1221.03,538.94,682.09
28-Jul-2006,426,505.55,-79.55,367.77,424.74,-56.97
27-Jul-2006,895.91,633.11,262.8,1203.49,784.81,418.68
26-Jul-2006,650.52,374.43,276.09,625.08,379.07,246.01
25-Jul-2006,637.36,402.15,235.21,325.17,418.37,-93.2
24-Jul-2006,416.63,328.01,88.62,668.62,548.17,120.45
21-Jul-2006,306.78,302.49,4.29,592.12,418.45,173.67
20-Jul-2006,440.81,520.95,-80.14,783.1,279.16,503.94
19-Jul-2006,324.69,450.56,-125.87,893.15,500.07,393.08
18-Jul-2006,285.91,143.94,141.97,646.15,403.99,242.16
17-Jul-2006,242.55,280.81,-38.26,714.5,630.71,83.79
14-Jul-2006,290.41,314.56,-24.15,540.58,445.98,94.6
13-Jul-2006,256.93,272.85,-15.92,1148.62,348.27,800.35
12-Jul-2006,474.89,342.61,132.28,676.04,456.38,219.66
11-Jul-2006,274.64,290.84,-16.2,880.91,160.43,720.48
10-Jul-2006,237.54,175.26,62.28,1221.94,135.63,1086.31
07-Jul-2006,309.77,726.1,-416.33,930.07,213.63,716.44
06-Jul-2006,221.47,434.85,-213.38,425.51,216.92,208.59
05-Jul-2006,259.38,327.86,-68.48,526.21,365.04,161.17
04-Jul-2006,115.91,206.51,-90.6,818.15,307.81,510.34
03-Jul-2006,153.18,227.7,-74.52,774.41,289.84,484.57
01-Jul-2006,N.A.,0.51,-0.51,0,0,0
Total,7552.18,7633.39,-81.21,15982.62,8266.41,7716.21
29-Dec-2006,557.72,332.54,225.18,157.72,211.14,-53.42
28-Dec-2006,1014.23,337.13,677.1,620.3,441.76,178.54
27-Dec-2006,752.42,396.35,356.07,375.61,381.24,-5.63
26-Dec-2006,697.54,361.18,336.36,690.7,294.38,396.32
22-Dec-2006,767.24,419.35,347.89,240.92,160.76,80.16
21-Dec-2006,712.01,475.79,236.22,667.3,349.74,317.56
