,EQUITY,EQUITY,EQUITY,DEBT,DEBT,DEBT
Date,Gross Purchase,Gross Sales,Net Purchase/Sales,Gross Purchase,Gross Sales,Net Purchase/Sales
11-Sep-2015,855.2,671,184.2,2789.2,4068.2,-1279
10-Sep-2015,592,647,-55,4605.4,6522.1,-1916.7
09-Sep-2015,1476.9,444,1032.9,2865,4331,-1466
08-Sep-2015,1107.3,520.3,587,3560.4,4706.6,-1146.2
07-Sep-2015,742.4,370.3,372.1,4075.1,3824.9,250.2
04-Sep-2015,1466,898.5,567.5,6804.2,4565.1,2239.1
03-Sep-2015,1518.9,719.2,799.7,7964.2,5402.1,2562.1
02-Sep-2015,1147.5,623.3,524.2,4851.1,4131.6,719.5
01-Sep-2015,1278.7,980.2,298.5,8373.2,6353.6,2019.6
Total,23398.3,14078.3,9320,114333.4,97698.9,16609.8
31-Jan-2014,580.7,377.6,203.1,9575.9,7276,2299.9
30-Jan-2014,709.1,1156.4,-447.3,4110.6,3192.3,918.3
29-Jan-2014,598.5,623,-24.5,4736,3645.1,1090.9
28-Jan-2014,684.6,515.6,169,7378.6,5260.4,2118.2
27-Jan-2014,424.7,530.3,-105.6,8506.6,4557.5,3949.1
24-Jan-2014,268.4,673.3,-404.9,8391.8,4490.4,3901.4
23-Jan-2014,308.8,686.6,-377.8,6572.5,4235.9,2336.6
22-Jan-2014,345.6,417.1,-71.5,6105.1,3580.7,2524.4
21-Jan-2014,458.7,412.5,46.2,7376.1,3627.8,3748.3
20-Jan-2014,402.4,452.4,-50,5948.5,5280.9,667.6
17-Jan-2014,533.5,614.6,-81.1,6018,3666.5,2351.5
16-Jan-2014,383.3,695.2,-311.9,5270.4,5163,107.4
15-Jan-2014,258.7,456.6,-197.9,3995.6,4124.2,-128.6
14-Jan-2014,203.7,281.4,-77.7,5.1,7.2,-2.1
13-Jan-2014,346.4,334.9,11.5,8525.2,5195.1,3330.1
10-Jan-2014,560.9,493.5,67.4,3954.1,3304.7,649.4
09-Jan-2014,385,600.1,-215.1,3803.6,3112,691.6
08-Jan-2014,388.5,415.2,-26.7,4148.3,4842.1,-693.8
07-Jan-2014,308.4,490,-181.6,5967.3,6090.2,-122.9
06-Jan-2014,317.4,568.6,-251.2,6860,5828.9,1031.1
03-Jan-2014,322.2,437.1,-114.9,8507.8,5361.8,3146
02-Jan-2014,382.7,444.9,-62.2,12766.9,3660.8,9106.1
01-Jan-2014,176.6,187.4,-10.8,5089.7,2694.9,2394.8
Total,9348.8,11864.3,-2515.5,143613.7,98198.4,45415.3
31-Oct-2014,1295.3,842.7,452.6,5940.7,6470.5,-529.8
30-Oct-2014,1464.3,1170.8,293.5,8823,6445.4,2377.6
29-Oct-2014,862.4,798.1,64.3,6693.9,5322.4,1371.5
28-Oct-2014,867.3,418.2,449.1,5762.8,5566.6,196.2
27-Oct-2014,692.5,556,136.5,4514.1,3822.7,691.4
23-Oct-2014,19,2.7,16.3,0,0,0
22-Oct-2014,921.7,512.7,409,3556.2,4051.6,-495.4
21-Oct-2014,984.9,796.8,188.1,5026.5,4212.3,814.2
20-Oct-2014,1160.9,977.2,-256.6,4584.7,4613.7,-29
17-Oct-2014,1350.8,653.1,697.7,5752.2,3753.7,1998.5
16-Oct-2014,934.3,618.7,315.6,7105.5,7729.4,-623.9
14-Oct-2014,1077.1,617.6,459.5,3664.2,5367.5,-1703.3
13-Oct-2014,1003.9,520,483.9,5488.6,3318,2170.6
10-Oct-2014,908.5,718.7,189.8,4766.8,3509.8,1257
09-Oct-2014,1285.7,628.4,657.3,6900.9,4238.5,2662.4
08-Oct-2014,957.4,493.5,463.9,9280.5,4066.7,5213.8
07-Oct-2014,951.5,693.4,258.1,11705.1,2821.8,8883.3
01-Oct-2014,745.4,524.6,220.8,12623,4961,7662
Total,17482.9,11543.2,5499.4,112188.7,80271.6,31917.1
30-Sep-2010,636.6,1730.4,-1093.8,1.3,3.8,-2.5
29-Sep-2010,437.3,973.2,-535.9,4473,2270.6,2202.4
28-Sep-2010,467,1034.9,-567.9,4699.2,3038.7,1660.5
27-Sep-2010,462.7,1074,-611.3,2411,2403.2,7.8
24-Sep-2010,557.1,856.4,-299.3,2761.1,2869,-107.9
23-Sep-2010,395.9,673.9,-278,3994.7,1811.9,2182.8
22-Sep-2010,510.3,960.2,-449.9,1494.3,1349.4,144.9
21-Sep-2010,555.2,1306,-750.8,3361.9,2158,1203.9
20-Sep-2010,549.1,757.9,-208.8,3599.8,1377.5,2222.3
17-Sep-2010,532.7,877.7,-345,2126.4,593.9,1532.5
16-Sep-2010,521.6,1272.9,-751.3,1454.1,1295.5,158.6
15-Sep-2010,633.9,1121,-487.1,2330.4,1740.5,589.9
14-Sep-2010,577.9,1240.7,-662.8,2766.3,1970.8,795.5
13-Sep-2010,451.9,886.8,-434.9,1388.1,932.8,455.3
09-Sep-2010,722,1007.4,-285.4,3439.3,2054.3,1385
08-Sep-2010,476.3,581.6,-105.3,3019.4,857.6,2161.8
07-Sep-2010,657.7,626.3,31.4,1825.2,976.2,849
06-Sep-2010,883.4,529.1,354.3,1804.6,2262.3,-457.7
03-Sep-2010,380.9,315.5,65.4,2289.1,1707.7,581.4
02-Sep-2010,593.8,574.4,19.4,1939.9,808.3,1131.6
01-Sep-2010,675.4,514.4,161,3092.3,1285.4,1806.9
Total,11678.7,18914.7,-7236,54271.4,33767.4,20504
30-Apr-2001,50.9,52.55,-1.65,0,0,0
27-Apr-2001,96.4,20.56,75.84,0,0,0
26-Apr-2001,42.04,79.22,-37.18,0,0,0
25-Apr-2001,17.62,31.19,-13.57,0,0,0
24-Apr-2001,22.99,75.89,-52.9,0,0,0
23-Apr-2001,18.61,79.11,-60.5,0,0,0
20-Apr-2001,42.71,67.45,-24.74,0,0,0
19-Apr-2001,67.62,127.64,-60.02,0,0,0
18-Apr-2001,39.21,29,10.21,0,0,0
17-Apr-2001,31.77,25.27,6.5,0,0,0
16-Apr-2001,29.96,30.72,-0.76,0,0,0
12-Apr-2001,56.73,47.57,9.16,0,0,0
11-Apr-2001,57.35,120.33,-62.98,0,0,0
10-Apr-2001,41.87,60.4,-18.53,0,0,0
09-Apr-2001,9.44,27.39,-17.95,0,0,0
06-Apr-2001,34.86,24.17,10.69,0,0,0
04-Apr-2001,21.11,33,-11.89,0,0,0
03-Apr-2001,32.09,32.73,-0.64,0,0,0
02-Apr-2001,23.83,69.66,-45.83,0,0,0
Total,737.11,1033.85,-296.74,0,0,0
31-Oct-2007,1275.2,1286.4,-11.2,1011.6,1544,-532.4
30-Oct-2007,938.1,1471.7,-533.6,1190.4,1410.9,-220.5
29-Oct-2007,1459.3,1038.2,421.1,1310.4,878,432.4
26-Oct-2007,1690.3,858.9,831.4,625.1,567.6,57.5
25-Oct-2007,1891.5,1156.2,735.3,634.4,758.6,-124.2
24-Oct-2007,1037.5,700.1,337.4,917.8,1455.2,-537.4
23-Oct-2007,1286.7,999.9,286.8,1947.4,1123.7,823.7
22-Oct-2007,779.8,1106.1,-326.3,1434.6,663,771.6
19-Oct-2007,1037.3,1269,-231.7,1085.4,568.5,516.9
18-Oct-2007,1107,1372.5,-265.5,1394.2,995.3,398.9
17-Oct-2007,1313.6,1297.4,16.2,1249.5,1365.8,-116.3
16-Oct-2007,1154.1,1454.4,-300.3,1694.9,1359.7,335.2
15-Oct-2007,1265.5,1154.1,111.4,1201,973.3,227.7
12-Oct-2007,881.4,1605.2,-723.8,1989.3,946.8,1042.5
11-Oct-2007,1146.6,1145.7,0.9,1939.8,804.2,1135.6
10-Oct-2007,1052.3,1406.8,-354.5,1620.1,995.8,624.3
09-Oct-2007,917.1,1258,-340.9,2628.6,929.1,1699.5
08-Oct-2007,396.4,727.7,-331.3,2273.5,894,1379.5
05-Oct-2007,592.5,867.4,-274.9,2106.7,594.9,1511.8
04-Oct-2007,590.6,1122.6,-532,1840.6,962,878.6
03-Oct-2007,647.5,749.6,-102.1,1229.5,573.5,656
01-Oct-2007,760.2,888,-127.8,1636.5,603.6,1032.9
Total,23220.5,24935.9,-1715.4,32961.3,20967.5,11993.8
29-Jul-2016,1576.6,1020.2,556.4,6384.1,9370.2,-2986.1
28-Jul-2016,1594.9,2567.7,-972.8,4872,4943.8,-71.8
27-Jul-2016,1843.4,1572.2,271.2,5124.5,9777.2,-4652.7
26-Jul-2016,1092.4,1440.4,-348,3989.9,6345,-2355.1
25-Jul-2016,1184.2,1037.9,146.3,7553.4,6893.2,660.2
22-Jul-2016,929.5,1157.3,-227.8,6388.6,2935.3,3453.3
21-Jul-2016,1175.9,1146.3,29.6,4036.3,2227.1,1809.2
20-Jul-2016,1522,1094.4,427.6,5817.8,4634.1,1183.7
19-Jul-2016,1237.4,1202.4,35,4839.8,4675.4,164.4
18-Jul-2016,1171.8,1214.4,-42.6,7778.2,4287.8,3490.4
15-Jul-2016,1365.3,1486.7,-121.4,4123,1720.6,2402.4
14-Jul-2016,1003.8,1174.4,-170.6,3879.1,3506,373.1
13-Jul-2016,1252.9,1295,-42.1,5226.4,2839.7,2386.7
12-Jul-2016,1344,1134.5,209.5,5001.1,3280.9,1720.2
11-Jul-2016,1045.1,1259.5,-214.4,4744.2,13212.3,-8468.1
08-Jul-2016,741.2,1027.4,-286.2,4524.9,2311.9,2213
07-Jul-2016,916.3,873.4,42.9,3706.3,1897.3,1809
05-Jul-2016,830.3,977.4,-147.1,5842.5,2462.4,3380.1
04-Jul-2016,799.9,532.8,267.1,7816.6,2628.1,5188.5
01-Jul-2016,1499.5,945.6,553.9,10013,2060.5,7952.5
Total,24126.4,24159.9,-33.5,111661.7,92008.8,19652.9
30-Aug-2011,752.5,486.3,266.2,3353.8,6253.3,-2899.5
29-Aug-2011,552,503,49,3174.8,4771.8,-1597
26-Aug-2011,462,512.7,-50.7,3590.7,5217.7,-1627
25-Aug-2011,699.1,469.9,229.2,3656.7,2229.9,1426.8
24-Aug-2011,450.8,356.5,94.3,3733.2,2728.2,1005
23-Aug-2011,443.7,324,119.7,3265.3,3294.7,-29.4
22-Aug-2011,672.6,484.2,188.4,2892.5,2249.9,642.6
19-Aug-2011,846.8,737.3,109.5,0,0,0
18-Aug-2011,440.4,506.7,-66.3,3941.6,2111.1,1830.5
17-Aug-2011,432.8,465.7,-32.9,2415,1837.2,577.8
16-Aug-2011,388.2,299.3,88.9,1759.1,1524.7,234.4
12-Aug-2011,511.7,521.3,-9.6,2670.6,4169,-1498.4
11-Aug-2011,630,460.2,169.8,4225.1,2623.3,1601.8
10-Aug-2011,846.1,550.6,295.5,3432.9,3159.4,273.5
09-Aug-2011,1426.9,901.1,525.8,3358.1,4647.8,-1289.7
08-Aug-2011,949.3,668.2,281.1,2591.3,4733,-2141.7
05-Aug-2011,1212.1,855.8,356.3,2519.4,1885.4,634
04-Aug-2011,532.5,403.8,128.7,2531.2,2743.6,-212.4
03-Aug-2011,568.2,544.8,23.4,2636.6,2079.7,556.9
02-Aug-2011,474.7,557.2,-82.5,1751.5,2065.6,-314.1
01-Aug-2011,347.8,508.1,-160.3,2239.9,3371.5,-1131.6
Total,13640.2,11116.7,2523.5,59739.3,63696.8,-3957.5
31-May-2002,74.7,37.74,36.96,87.46,111.58,-24.12
30-May-2002,62.39,47.8,14.59,217.04,33.51,183.53
29-May-2002,72.68,53.51,19.17,71.31,91.01,-19.7
28-May-2002,69.2,89.73,-20.53,77.16,101.27,-24.11
27-May-2002,22.01,66.59,-44.58,110.25,41.38,68.87
24-May-2002,55.48,88.73,-33.25,114.98,167.56,-52.58
23-May-2002,91.46,48.52,42.94,89.67,32.36,57.31
22-May-2002,58.37,48.66,9.71,104.62,39.97,64.65
21-May-2002,106.42,42.56,63.86,84.3,57.14,27.16
20-May-2002,90.02,70.74,19.28,88.89,64.86,24.03
18-May-2002,N.A.,N.A.,N.A.,41.45,11.66,29.79
17-May-2002,51.51,46.67,4.84,30.56,69.28,-38.72
16-May-2002,55.84,58.46,-2.62,76.84,84.91,-8.07
15-May-2002,58.59,69.12,-10.53,110.99,128.69,-17.7
14-May-2002,57.02,99.14,-42.12,149.37,100.75,48.62
13-May-2002,75.5,84.07,-8.57,158.05,107.9,50.15
11-May-2002,N.A.,N.A.,N.A.,6.31,17.35,-11.04
10-May-2002,35.99,100.18,-64.19,68.78,155.45,-86.67
09-May-2002,59.17,115.64,-56.47,119.49,129.3,-9.81
08-May-2002,78.2,79.44,-1.24,159.41,63.8,95.61
07-May-2002,50.47,60.42,-9.95,135.03,123.71,11.32
06-May-2002,40.51,81.17,-40.66,194.37,109.6,84.77
04-May-2002,N.A.,N.A.,N.A.,61.4,31.74,29.66
03-May-2002,36.87,64.48,-27.61,81.47,98.4,-16.93
02-May-2002,63.8,52.84,10.96,72.67,111.67,-39
Total,1366.2,1506.21,-140.01,2511.87,2084.85,427.02
31-Oct-2003,281.9,134.24,147.66,135.6,114.74,20.86
30-Oct-2003,297.79,147.07,150.72,135.96,162.75,-26.79
29-Oct-2003,113.54,189.09,-75.55,108.8,190.89,-82.09
28-Oct-2003,125.76,163.7,-37.94,32.13,118.78,-86.65
27-Oct-2003,177.97,141.19,36.78,33.8,32.22,1.58
25-Oct-2003,10.79,5.42,5.37,0,0,0
24-Oct-2003,143.77,116.68,27.09,79.26,20.77,58.49
23-Oct-2003,123.42,144.12,-20.7,74.82,120.31,-45.49
22-Oct-2003,92.99,156.35,-63.36,93.5,160.21,-66.71
21-Oct-2003,120.19,293,-172.81,240.81,128.45,112.36
20-Oct-2003,150.68,261.52,-110.84,185.14,117.07,68.07
18-Oct-2003,N.A.,N.A.,N.A.,0,0.62,-0.62
17-Oct-2003,243.82,272.03,-28.21,200.1,121.2,78.9
16-Oct-2003,68.77,121.43,-52.66,174.01,150.19,23.82
15-Oct-2003,248.31,284.17,-35.86,395.86,281.95,113.91
14-Oct-2003,117.49,124.47,-6.98,203.17,208.08,-4.91
13-Oct-2003,114.23,60.37,53.86,134.35,112.75,21.6
11-Oct-2003,N.A.,N.A.,N.A.,135.39,69.52,65.87
10-Oct-2003,155.57,197.71,-42.14,206.06,127.21,78.85
09-Oct-2003,175.76,190.97,-15.21,519.49,189.08,330.41
08-Oct-2003,84.27,172.9,-88.63,372.89,225.61,147.28
07-Oct-2003,117.26,100.69,16.57,420.31,245.88,174.43
06-Oct-2003,161.88,93.93,67.95,374.94,144.66,230.28
03-Oct-2003,132.89,115.51,17.38,383.9,237,146.9
01-Oct-2003,103.25,70.58,32.67,188.63,86.06,102.57
Total,3362.3,3557.14,-194.84,4828.92,3366,1462.92
28-Feb-2015,861.3,483.7,377.6,12.1,8.9,3.2
27-Feb-2015,1368.3,1050.4,317.9,15974.5,7837.4,8137.1
26-Feb-2015,1596.7,1498,98.7,8034,4695.8,3338.2
25-Feb-2015,1007.4,827.3,180.1,14371.7,5134.2,9237.5
24-Feb-2015,736.4,722.8,13.6,10196.9,4066.8,6130.1
23-Feb-2015,980.3,823.5,156.8,10438.6,3882.5,6556.1
20-Feb-2015,963.7,796.5,167.2,6893.6,2241.2,4652.4
19-Feb-2015,762,911.7,-149.7,5.3,8.3,-3
18-Feb-2015,998.4,710.2,288.2,6229.1,2512.3,3716.8
16-Feb-2015,877,625.1,251.9,8465,3273.1,5191.9
13-Feb-2015,1349.2,1379.6,-30.4,5528.6,2658.9,2869.7
12-Feb-2015,1354.3,653.6,700.7,3932.3,3215.3,717
11-Feb-2015,1075.2,782.3,292.9,3682.2,2811.6,870.6
10-Feb-2015,1359.1,578.2,780.9,4403.5,3290.6,1112.9
09-Feb-2015,854.3,629.3,225,5073,2524.7,2548.3
06-Feb-2015,700.5,609.9,90.6,8044.6,5007.2,3037.4
05-Feb-2015,1402.8,979.8,423,4503.9,4050.1,453.8
04-Feb-2015,892.5,934.8,-42.3,5428,3653.9,1774.1
03-Feb-2015,994.6,943.2,51.4,4707,4857.4,-174.8
02-Feb-2015,1351.5,804.8,546.7,14422.4,3573.5,10848.9
Total,21485.5,16744.7,4740.8,140346.3,69303.7,71018.2
31-Aug-2005,432.96,276.24,156.72,395.43,233.58,161.85
30-Aug-2005,407.11,209.95,197.16,342.83,199.61,143.22
29-Aug-2005,251.97,204.86,47.11,287.48,252.41,35.07
27-Aug-2005,N.A.,N.A.,N.A.,125.31,119.8,5.51
26-Aug-2005,275.84,230.37,45.47,218.49,294.58,-76.09
25-Aug-2005,609.82,452.8,157.02,314.65,314.29,0.36
24-Aug-2005,442.15,271.37,170.78,488.93,775.93,-287
23-Aug-2005,329.96,234.04,95.92,606.16,487.22,118.94
22-Aug-2005,301.6,230.87,70.73,167.39,317.36,-149.97
19-Aug-2005,252.83,285.79,-32.96,434.62,494.08,-59.46
18-Aug-2005,367.3,257.22,110.08,740.96,344.5,396.46
17-Aug-2005,469.24,426.13,43.11,996.68,423.16,573.52
16-Aug-2005,504.69,372.65,132.04,700.74,418.98,281.76
13-Aug-2005,N.A.,N.A.,N.A.,95.3,37.1,58.2
12-Aug-2005,944.49,438.89,505.6,755.67,600.45,155.22
11-Aug-2005,511.06,275.51,235.55,1622.23,496.6,1125.63
10-Aug-2005,433.6,244.17,189.43,625.03,352.33,272.7
09-Aug-2005,335.44,428.76,-93.32,937.56,377.16,560.4
08-Aug-2005,322.89,409.8,-86.91,1044.29,312.74,731.55
06-Aug-2005,N.A.,N.A.,N.A.,65.47,39.7,25.77
05-Aug-2005,478.78,410.53,68.25,754.08,422.12,331.96
04-Aug-2005,417.85,323,94.85,798.01,386.37,411.64
03-Aug-2005,617.65,413.3,204.35,675.11,278.32,396.79
02-Aug-2005,478.72,362.67,116.05,927.28,257.04,670.24
01-Aug-2005,95.57,229.98,-134.41,198.45,49.62,148.83
Total,9281.52,6988.9,2292.62,14318.15,8285.05,6033.1
31-Dec-2004,157.63,149.8,7.83,216.57,61.16,155.41
30-Dec-2004,168.38,145.31,23.07,220.95,203,17.95
29-Dec-2004,182.78,152.82,29.96,96.39,152.6,-56.21
28-Dec-2004,246.11,171.02,75.09,198.73,133.33,65.4
27-Dec-2004,136.44,159.05,-22.61,218.49,256.73,-38.24
24-Dec-2004,157.08,125.99,3109,94.78,51.31,43.47
23-Dec-2004,258.3,218.83,39.47,197.84,82.39,115.45
22-Dec-2004,183.62,151.77,31.85,135.9,231.05,-95.15
21-Dec-2004,199.66,129.75,69.91,176.6,109.5,67.1
20-Dec-2004,150.04,145.97,4.07,35.27,125.06,-89.79
18-Dec-2004,N.A.,N.A.,N.A.,20.56,75.44,-54.88
17-Dec-2004,170.37,177.17,-6.8,222.04,125.72,96.32
16-Dec-2004,215.9,230.36,-14.46,226.98,188.32,38.66
15-Dec-2004,393.95,230.43,163.52,126.94,64.73,62.21
14-Dec-2004,316.36,286.25,30.11,349.24,165.51,183.73
13-Dec-2004,132.97,192.42,-59.45,183.76,182.95,0.81
11-Dec-2004,N.A.,N.A.,N.A.,72.19,56.14,16.05
10-Dec-2004,115.98,210.48,-94.5,380.13,198.69,181.44
09-Dec-2004,166.12,260.78,-94.66,286.71,271.87,14.84
08-Dec-2004,212.87,232.68,-19.81,612.46,117.18,495.28
07-Dec-2004,202.58,284.35,-81.77,585.66,192.94,392.72
06-Dec-2004,191.49,322.7,-131.21,497.97,45.67,452.3
04-Dec-2004,N.A.,N.A.,N.A.,122.41,85.24,37.17
03-Dec-2004,244.2,327.68,-83.48,308.74,95.74,213
02-Dec-2004,400,502.45,-102.45,360.09,296.89,63.2
01-Dec-2004,192.32,340.35,-148.03,525.77,161.71,364.06
Total,4795.15,5148.41,2724.65,6473.17,3730.87,2742.3
30-Nov-2000,74.21,58.86,15.35,0,0,0
29-Nov-2000,52.22,130.34,-78.12,0,0,0
28-Nov-2000,61.51,36.54,24.97,0,0,0
27-Nov-2000,58.51,43.38,15.13,0,0,0
24-Nov-2000,33.53,127.28,-93.75,0,0,0
23-Nov-2000,26.45,89.11,-62.66,0,0,0
22-Nov-2000,51.46,44.06,7.4,0,0,0
21-Nov-2000,38.74,81.93,-43.19,0,0,0
20-Nov-2000,25.92,11.71,14.21,0,0,0
17-Nov-2000,23.55,50.01,-26.46,0,0,0
16-Nov-2000,33.78,32.93,0.85,0,0,0
15-Nov-2000,36.95,37.28,-0.33,0,0,0
14-Nov-2000,40.35,69.45,-29.1,0,0,0
13-Nov-2000,22.13,98.02,-75.89,0,0,0
10-Nov-2000,31.69,61.35,-29.66,0,0,0
09-Nov-2000,41.58,75.53,-33.95,0,0,0
08-Nov-2000,49.53,55.56,-6.03,0,0,0
07-Nov-2000,18.45,49.81,-31.36,0,0,0
06-Nov-2000,31.67,47.22,-15.55,0,0,0
03-Nov-2000,48.36,41.04,7.32,0,0,0
02-Nov-2000,24.95,56.68,-31.73,0,0,0
01-Nov-2000,102.11,61.05,41.06,0,0,0
Total,927.65,1359.14,-431.49,0,0,0
26-Feb-2010,1035.6,1423.1,-387.5,1402.3,1871,-468.7
25-Feb-2010,1114.9,737.3,377.6,3584.5,2076.2,1508.3
24-Feb-2010,493,739.6,-246.6,2702.1,1558.8,1143.3
23-Feb-2010,477.8,704.5,-226.7,1859.5,1844.1,15.4
22-Feb-2010,488.3,399.4,88.9,2179.8,905.8,1274
19-Feb-2010,618.5,766.6,-148.1,1516.6,1085.5,431.1
18-Feb-2010,445.3,578.3,-133,3967.6,2207.7,1759.9
17-Feb-2010,681,418.5,262.5,1810.6,2584.4,-773.8
16-Feb-2010,621.2,680.2,-59,1526.2,1071.6,454.6
15-Feb-2010,234.5,534.2,-299.7,2739.7,2317.8,421.9
11-Feb-2010,480.6,479.1,1.5,2246.1,1336.4,909.7
10-Feb-2010,761.5,494.5,267,2606.3,1242.1,1364.2
09-Feb-2010,669.9,410.5,259.4,2262.1,1702.3,559.8
08-Feb-2010,515.8,478.8,37,2285.7,1538.1,747.6
06-Feb-2010,35.2,14.7,20.5,0,0,0
05-Feb-2010,672,678.8,-6.8,3485.9,1571.1,1914.8
04-Feb-2010,561.7,857.9,-296.2,2733.4,2438.1,295.3
03-Feb-2010,752.3,746.1,6.2,1854.6,2362,-507.4
02-Feb-2010,417.6,664.6,-247,2319.9,1457.8,862.1
01-Feb-2010,595.1,562.5,32.6,1785.5,1724,61.5
Total,11671.8,12369.2,-697.4,44868.4,32894.8,11973.6
30-May-2006,628.37,360.91,267.46,811.31,330.79,480.52
29-May-2006,338.35,193.3,145.05,656.43,390.26,266.17
26-May-2006,498.01,275.22,222.79,475.36,338.55,136.81
25-May-2006,961.71,553.01,408.7,1034.28,347.39,686.89
24-May-2006,1505.53,343.54,1161.99,670.84,551.39,119.45
23-May-2006,986.7,453,533.7,582.58,559.79,22.79
22-May-2006,999.62,596.87,402.75,404.15,420.32,-16.17
19-May-2006,1279.2,430.86,848.34,358.76,223.79,134.97
18-May-2006,1244.54,481.87,762.67,738.64,360.11,378.53
17-May-2006,707.24,513.94,193.3,1325.27,636.61,688.66
16-May-2006,1103.85,760.64,343.21,925.49,271.92,653.57
15-May-2006,1274.82,489.47,785.35,748.34,344.06,404.28
12-May-2006,778.21,422.04,356.17,619.55,365.87,253.68
11-May-2006,456.65,524.58,-67.93,1475.45,246.91,1228.54
10-May-2006,981.53,453.3,528.23,813.02,397.06,415.96
09-May-2006,726.92,575.41,151.51,564.28,234.27,330.01
08-May-2006,401,571.78,-170.78,537.41,204.32,333.09
05-May-2006,761.83,527.42,234.41,409.98,152.3,257.68
04-May-2006,855.53,580.62,274.91,285.41,119.01,166.4
03-May-2006,722.59,580.21,142.38,555.27,229.88,325.39
02-May-2006,543.63,494.8,48.83,389.58,324.42,65.16
Total,17755.83,10182.79,7573.04,14381.4,7049.02,7332.38
29-Jun-2001,38.75,27.18,11.57,0,0,0
28-Jun-2001,27.8,12.58,15.22,0,0,0
27-Jun-2001,33.8,24.6,9.2,0,0,0
26-Jun-2001,46.14,44.58,1.56,0,0,0
25-Jun-2001,16.6,43.23,-26.63,0,0,0
22-Jun-2001,35.55,21.83,13.72,0,0,0
21-Jun-2001,24.81,29.5,-4.69,0,0,0
20-Jun-2001,40.75,40.99,-0.24,0,0,0
18-Jun-2001,28.52,22.15,6.37,0,0,0
15-Jun-2001,37.95,38.31,-0.36,0,0,0
14-Jun-2001,17.32,53.84,-36.52,0,0,0
13-Jun-2001,22.8,25.23,-2.43,0,0,0
12-Jun-2001,14.56,35.51,-20.95,0,0,0
11-Jun-2001,27.24,27.36,-0.12,0,0,0
07-Jun-2001,36.93,64.04,-27.11,0,0,0
06-Jun-2001,40.32,50.29,-9.97,0,0,0
05-Jun-2001,31.31,31.14,0.17,0,0,0
04-Jun-2001,16.81,59.33,-42.52,0,0,0
01-Jun-2001,36.17,31.26,4.91,0,0,0
Total,574.13,682.95,-108.82,0,0,0
31-Oct-2011,413.6,563.6,-150,3563.4,3859.7,-296.3
28-Oct-2011,688.3,845.3,-157,1714.1,1649.2,64.9
26-Oct-2011,39.2,4.2,35,0,53.5,-53.5
25-Oct-2011,772.5,794.5,-22,3792.6,2619.5,1168.1
24-Oct-2011,323,412.9,-89.9,1879.3,2813.3,-934
21-Oct-2011,340.2,394.6,-54.4,2464.8,2158,306.8
20-Oct-2011,302.6,489.5,-186.9,2360.6,1467.6,893
19-Oct-2011,423.4,432.9,-9.5,2274.7,3054,-779.3
18-Oct-2011,451,526.1,-75.1,2345.1,2330.5,14.6
17-Oct-2011,292.8,522.4,-229.6,2093.5,1539.6,553.9
14-Oct-2011,465.9,483.6,-17.7,1607.9,1599.6,8.3
13-Oct-2011,429.9,511.9,-82,2479.8,1969.5,510.3
12-Oct-2011,680.2,500.7,179.5,2767.2,1672.2,1090
11-Oct-2011,777.7,433.2,344.5,2063.1,2157.8,-94.7
10-Oct-2011,694.2,500.4,193.8,2771.1,927.1,1844
07-Oct-2011,739.3,555.2,184.1,4634.4,1981.7,2652.7
05-Oct-2011,528.1,424.4,103.7,5556.4,4141.4,1415
04-Oct-2011,558.8,654,-95.2,5203.1,3350.7,1852.4
03-Oct-2011,387.1,620.1,-233,8440.6,3803.1,4637.5
Total,9307.8,9669.5,-361.7,58011.7,43148,14853.7
31-Dec-2001,44.27,93.85,-49.58,127.55,47.31,80.24
28-Dec-2001,49.98,101.45,-51.47,107.44,42.88,64.56
27-Dec-2001,83.77,55.92,27.85,110.52,105.25,5.27
26-Dec-2001,24.21,40.6,-16.39,150.78,73.88,76.9
24-Dec-2001,49.29,42.48,6.81,183.4,92.49,90.91
21-Dec-2001,51.44,57.1,-5.66,163.39,57.21,106.18
20-Dec-2001,58.78,55.1,3.68,97.72,23.61,74.11
19-Dec-2001,53.19,43.23,9.96,153.06,147.08,5.98
18-Dec-2001,24.88,58.82,-33.94,151.3,62,89.3
15-Dec-2001,N.A.,N.A.,N.A.,19.92,0,19.92
14-Dec-2001,47.97,73.81,-25.84,114.21,22.17,92.04
13-Dec-2001,177.32,53.98,123.34,103.16,155.49,-52.33
12-Dec-2001,108.35,48.53,59.82,132.2,75.16,57.04
11-Dec-2001,122.55,55.83,66.72,41.53,45.04,-3.51
10-Dec-2001,62.52,100.48,-37.96,97.35,95.07,2.32
08-Dec-2001,N.A.,N.A.,N.A.,10.56,0,10.56
07-Dec-2001,59.39,92.8,-33.41,76.03,166.95,-90.92
06-Dec-2001,96.63,123.17,-26.54,179.48,168.5,10.98
05-Dec-2001,92,72.31,19.69,141.68,50.29,91.39
04-Dec-2001,67.37,48.57,18.8,139.65,71.09,68.56
03-Dec-2001,52.92,44.88,8.04,131.87,57.46,74.41
01-Dec-2001,N.A.,N.A.,N.A.,65.93,60.33,5.6
Total,1326.83,1262.91,63.92,2498.73,1619.26,879.51
29-Nov-2013,616.4,434.8,181.6,9193.2,5902.2,3291
28-Nov-2013,1230,600.4,629.6,6872.5,2963.7,3908.8
27-Nov-2013,484.8,249.1,235.7,5632.3,2121.8,3510.5
